track,album-name,artist,release-date,isrc,all-time-rank,track-score,spotify-streams,spotify-playlist-count,spotify-playlist-reach,spotify-popularity,youtube-views,youtube-likes,tiktok-posts,tiktok-likes,tiktok-views,youtube-playlist-reach,apple-music-playlist-count,airplay-spins,siriusxm-spins,deezer-playlist-count,deezer-playlist-reach,amazon-playlist-count,pandora-streams,pandora-track-stations,soundcloud-streams,shazam-counts,tidal-popularity,explicit-track
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,4/26/2024,QM24S2402528,1,725.4,"390,470,936","30,716","196,631,588",92,"84,274,754","1,713,126","5,767,700","651,565,900","5,332,281,936","150,597,040",210,"40,975",684,62,"17,598,718",114,"18,004,655","22,931","4,818,457","2,669,262",,0
Not Like Us,Not Like Us,Kendrick Lamar,5/4/2024,USUG12400910,2,545.9,"323,703,884","28,113","174,597,137",92,"116,347,040","3,486,739","674,700","35,223,547","208,339,025","156,380,351",188,"40,778",3,67,"10,422,430",111,"7,780,028","28,444","6,623,075","1,118,279",,1
i like the way you kiss me,I like the way you kiss me,Artemas,3/19/2024,QZJ842400387,3,538.4,"601,309,283","54,331","211,607,669",92,"122,599,116","2,228,730","3,025,400","275,154,237","3,369,120,610","373,784,955",190,"74,333",536,136,"36,321,847",172,"5,022,621","5,639","7,208,651","5,285,340",,0
Flowers,Flowers - Single,Miley Cyrus,1/12/2023,USSM12209777,4,444.9,"2,031,280,633","269,802","136,569,078",85,"1,096,100,899","10,629,796","7,189,811","1,078,757,968","14,603,725,994","3,351,188,582",394,"1,474,799","2,182",264,"24,684,248",210,"190,260,277","203,384",,"11,822,942",,0
Houdini,Houdini,Eminem,5/31/2024,USUG12403398,5,423.3,"107,034,922","7,223","151,469,874",88,"77,373,957","3,670,188","16,400",,,"112,763,851",182,"12,185",1,82,"17,660,624",105,"4,493,884","7,006","207,179","457,017",,1
Lovin On Me,Lovin On Me,Jack Harlow,11/10/2023,USAT22311371,6,410.1,"670,665,438","105,892","175,421,034",83,"131,148,091","1,392,593","4,202,367","214,943,489","2,938,686,633","2,867,222,632",138,"522,042","4,654",86,"17,167,254",152,"138,529,362","50,982","9,438,601","4,517,131",,1
Beautiful Things,Beautiful Things,Benson Boone,1/18/2024,USWB12307016,7,407.2,"900,158,751","73,118","201,585,714",86,"308,723,145","4,120,760",,"29,584,940","534,915,313","4,601,579,812",280,"383,478",429,168,"48,197,850",154,"65,447,476","57,372",,"9,990,302",,0
Gata Only,Gata Only,FloyyMenor,2/2/2024,QZL382406049,8,375.8,"675,079,153","40,094","211,236,940",92,"228,382,568","1,439,495","3,500,000","338,546,668","3,804,584,163","2,112,581,620",160,"17,221",30,87,"33,245,595",53,"3,372,428","5,762",,"6,063,523",,1
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,6/9/2024,TCJPA2463708,9,355.7,"1,653,018,119",1,15,,,,,,,,,,,,,,,,,,,1
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,5/23/2024,USSM12404354,10,330.6,"90,676,573","10,400","184,199,419",86,"32,735,244","988,682","325,800","121,574,500","974,656,200","174,706,874",191,"3,823",117,78,"10,800,098",92,"1,005,626",842,"3,679,709","666,302",,1
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,5/10/2024,USUM72404990,11,322.1,"250,080,413","16,219","168,766,158",91,"32,229,063","550,191",,"184,500","2,100,000","327,130,768",157,"62,312",71,60,"12,009,073",114,"23,155,471","21,172","1,594,605","963,413",,1
The Door,The Door,Teddy Swims,6/14/2024,USWB12402486,12,320.2,"111,155,129",2,"263,767",,,,,,,,,,,,,2,,,,,,1
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401991,13,316.3,"221,636,195","13,800","197,280,692",92,"40,022,524","1,307,290","195,300","45,889,000","360,017,000","342,107,131",244,"41,344",45,138,"38,243,636",163,"1,354,692","1,219","1,313,357","450,344",,0
Like That,WE DON'T TRUST YOU,Future,3/22/2024,USSM12402041,14,308.2,"355,186,436","43,025","108,168,634",88,"98,081,493","1,456,177",,,,"174,491,415",153,"90,237",3,55,"3,001,826",109,"26,252,264","18,364","12,038,034","1,963,314",,1
bathroom floor,bathroom floor,Kids With Buns,10/7/2022,NLC242100307,15,301.6,"297,185",277,"24,445",12,"6,736,502,312","16,785,489",3,"1,088","22,234",,1,"1,057",,,,,,,,"3,288",,0
LALA,LALA - Single,Myke Towers,3/22/2023,USWL12300002,16,299.9,"925,655,569","103,605","79,944,921",79,"934,302,031","4,294,166","11,054,500","521,725,116","7,499,234,052","2,042,145,659",94,"92,231",228,60,"5,633,435",83,"12,171,026","13,242","871,978","2,765,808",,1
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401028,17,297.6,"395,433,400","12,784","177,932,568",89,"104,673,836","2,484,083","139,300","25,348,800","207,317,000","268,893,710",221,"129,968",3,99,"37,988,531",134,"9,961,769","13,437","377,734","1,210,029",,0
greedy,greedy,Tate McRae,9/14/2023,USRC12301932,18,293.7,"1,258,569,694","105,218","198,845,580",87,"141,646,818","1,514,837","2,294,429","419,319,161","5,456,156,211","2,667,285,437",207,"667,329","3,310",188,"21,788,568",150,"44,850,379","12,270",,"6,973,652",,1
BLUE,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401996,19,292.6,"91,272,461","6,499","52,287,548",86,"16,038,053","569,377","941,900","119,740,900","1,225,345,800","5,839,168",76,181,1,24,"5,054,005",33,"283,089",162,"975,891","257,661",,0
As It Was,As It Was,Harry Styles,3/31/2022,USSM12200612,20,292,"3,301,814,535","407,119","169,783,402",87,"800,899,315","9,101,589","2,755,903","1,633,970,617","15,405,881,843","7,289,707,052",455,"1,777,811","4,909",330,"12,907,852",189,"132,624,772","79,909",,"14,967,379",,0
Paint The Town Red,Paint The Town Red,Doja Cat,8/4/2023,USRC12300907,21,290.5,"1,065,399,331","170,890","121,712,197",78,"240,970,670","2,749,668","3,091,732","652,428,798","7,095,564,106","1,063,591,802",158,"400,899",273,143,"13,718,632",146,"70,291,476","49,111",,"7,559,816",,1
Espresso,Espresso,Sabrina Carpenter,4/12/2024,USUM72403305,22,281.5,"547,882,871","24,425","262,343,414",95,"107,550,212","1,825,761","209,200","169,144,295","1,379,499,000","422,646,034",298,"37,208",236,167,"41,414,565",149,"10,362,898","10,848","1,551,157","1,373,085",,1
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,5/21/2024,TCJPA2445163,23,279,"1,655,575,417",10,655,,,,,,,,,,,,,,,,,,,1
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,2/10/2024,USSM12401302,24,278.9,"426,700,979","34,044","152,928,632",86,"35,724,356","437,980","1,470,500","485,200,392","6,518,604,175","1,213,175,656",159,"309,497",257,194,"40,725,482",177,"13,860,535","36,282",,"2,100,708",,1
Future,Future,official sound studio,1/10/2024,RUA1H2415548,25,277.5,,1,2,,,,"9,453,333","273,236,305","4,306,269,694",,,,,,,,,,,,,0
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,5/24/2022,BXWEH2200054,26,268.1,"7,382,759","3,504","661,084",35,"4,233,958","69,990","37,621,885","1,636,811,753","22,918,660,728",,1,,439,1,6,1,,,,"633,525",,0
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,7/9/2021,USSM12103949,27,266.3,"3,107,100,349","451,732","134,793,519",78,"1,256,973,582","14,661,425","7,485,966","2,246,991,336","23,712,377,029","4,327,058,646",513,"1,510,151","4,096",166,"5,783,693",128,"196,783,487","124,922","36,341,585",,,1
Baby Shark,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Pinkfong,12/1/2015,KRE671700001,28,265.7,"720,822,868","60,945","7,530,769",71,"16,322,756,555","48,757,673","7,743,800","281,762,094","6,577,639,193","2,166,611",33,284,142,19,"52,179",17,"86,458,847","2,234,137",,"2,064,420",,0
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,3/8/2024,USUM72317276,29,262.8,"591,068,364","26,203","197,494,995",87,"156,882,014","3,080,503",,,,"578,568,464",194,"200,230",32,117,"22,062,193",126,"10,106,573","7,689","1,612,479","1,579,980",,0
Numb / Encore,Papercuts,JAY-Z,4/12/2024,USWB12400678,30,256,"1,003,215,671",128,"485,454",,,,,,,,,,,,,,"179,867,721","87,209",,"4,474,248",,1
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý,LOVE BGM JPN,5/14/2024,TCJPA2406007,31,249.8,"1,645,079,292",,,,,,,,,,,,,,,,,,,,,1
SHEESH,BABYMONS7ER,BABYMONSTER,4/1/2024,KRA402400016,32,237.5,"124,893,397","3,479","25,936,342",82,"359,896,095","4,907,193","212,500","48,327,004","390,081,328","38,798,822",36,"2,188",32,3,"347,997",26,"130,743",592,"265,670","191,867",,0
Water,Water,Tyla,7/28/2023,USSM12305126,33,234.6,"670,376,179","98,450","150,471,020",83,"265,180,930","2,566,846","2,114,363","369,150,956","3,932,956,380","3,031,114,430",225,"486,952","1,215",180,"19,469,488",188,"40,418,532","27,555","6,049,784","6,447,136",,0
Strangers,Strangers,Kenya Grace,9/1/2023,USWB12305048,34,233.5,"750,154,960","139,141","103,879,363",79,"118,208,096","1,495,758","1,031,447","196,985,853","2,231,749,390","1,745,168,821",163,"378,114",856,113,"16,295,286",112,"20,228,317","5,331","10,938,075","7,477,917",,0
Too Sweet,Unreal Unearth: Unheard,Hozier,3/22/2024,USSM12401865,35,231.6,"532,012,790","23,557","67,488,850",,"62,123,098","923,733",,,,"384,716,227",221,"151,990",64,42,"658,517",47,"31,032,977","23,005","1,516,649",,,0
What's Love Got to Do with It - 2023 Remaster,What's Love Got to Do with It (30th Anniversary Deluxe Edition),Tina Turner,4/26/2024,GBAYE2300351,36,230,"479,417,905",7,"1,519",,,,,,,,,,,,,1,"121,250,721","83,632",,"3,692,067",,0
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,4/12/2024,USUYG1541249,37,226.4,"311,928,522","25,766","180,237,463",96,"62,694,868","837,616",,"27,811,667","378,313,942","243,895,569",149,,141,58,"26,516,005",146,"21,453,034","30,180","4,482,348","1,707,213",,1
Lose Control,Lose Control,Teddy Swims,6/23/2023,USWB12302315,38,224.1,"775,135,157","88,239","180,617,454",87,"139,180,960","1,504,385","396,560","49,060,857","597,513,595","4,016,801,205",215,"605,841",162,133,"42,675,181",120,"253,538,985","72,429","5,409,388","10,517,831",,0
fukumean,fukumean,Gunna,6/15/2023,USAT22306575,39,221.1,"759,998,727","188,142","80,392,612",80,"94,699,547","1,222,012","1,237,229","311,252,391","3,281,790,327","140,623,676",123,"265,291","4,003",40,"2,225,409",88,"64,456,799","20,518","33,130,829","3,945,184",,1
Dance Monkey,Dance Monkey,Tones And I,5/10/2019,QZES71982312,40,214.5,"3,071,214,106","375,201","64,901,153",71,"3,366,447,481","27,240,268","10,342,366","393,814,740","5,861,939,942","2,428,166,573",549,"573,733",169,584,"5,749,770",121,"373,294,159","844,198","37,430,204","44,842,636",,0
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401994,41,212.8,"214,237,645","10,871","202,626,837",92,"11,033,725","251,373","251,200","71,078,500","443,104,700","148,058,631",247,"3,400",8,67,"11,523,335",125,"840,442","2,592","1,369,981","285,858",,0
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,4/8/2023,KRA252300672,42,211.2,"170,970,614","27,827","5,784,546",41,"22,280,037","334,523","14,348,249","948,225,544","12,196,985,599",,2,672,,4,"35,737",9,"270,610","3,170",,,,1
I'm Good (Blue),I'm Good (Blue),David Guetta,8/26/2022,UKWLG2200055,43,209.6,"1,658,229,422","262,248","239,957,538",83,"466,080,689","4,324,989","728,093","54,258,768","1,051,836,430","1,425,853,925",285,"935,190","2,487",207,"6,479,623",168,"139,926,990","31,235","8,007,236","10,973,120",,1
Daylight,Daylight,David Kushner,4/14/2023,QZXDB2300005,44,207,"1,126,820,069","177,800","85,255,689",82,"274,070,101","3,701,289","2,557,115","285,329,503","2,578,518,632","1,205,538,057",163,"259,255",96,77,"3,413,707",80,"28,924,685","14,634","9,505,098","8,681,350",,0
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,9/15/2023,USJ5G2335007,45,206.2,"997,702,304","105,927","92,834,002",86,"48,093,111","959,175","3,648,759","857,220,853","5,469,808,282","298,259,422",91,"36,285","2,676",63,"10,874,749",110,"6,151,267","9,160","7,980,051","2,682,219",,0
Please Please Please,Please Please Please,Sabrina Carpenter,6/6/2024,USUM72404101,46,205.7,"59,314,441","2,572","183,043,096",83,"22,374,807","1,026,097",,"188,200","1,200,000","110,446,147",199,"2,359",2,73,"13,686,074",98,"360,163",758,"9,883","47,115",,1
Houdini,Houdini - Single,Dua Lipa,11/9/2023,GBAHT2301246,47,205.1,"493,627,071","45,300","87,874,006",80,"150,571,504","1,575,378","93,500","35,970,610","386,610,043","3,129,834,452",174,"564,640",405,146,"28,246,184",127,"25,843,941","3,694","1,991,527","2,389,957",,0
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,MUSIC LAB JPN,5/2/2024,TCJPA2415647,48,204.4,"1,655,575,417",9,85,,,,,,,,,,,,,,,,,,,1
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,2/10/2023,GBUM72300969,49,203.6,"304,929,492","43,923","46,133,083",69,"61,986,821","921,044","13,872,768","390,207,653","5,684,815,935","19,218,089",78,"92,638",822,41,"3,467,570",36,"7,444,354","7,188",,"2,227,494",,1
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,1/13/2017,USUM71607007,50,203.5,"1,747,093,405","178,114","49,464,650",74,"9,537,135,721","61,799,279","799,338","78,304,409","1,143,297,071","569,548,901",179,"121,234",116,145,"1,977,014",118,"266,603,596","2,359,900",,"19,622,551",,0
euphoria,euphoria,Kendrick Lamar,4/30/2024,USUG12402839,51,202.1,"168,434,320","17,168","62,516,401",86,"53,604,746","1,846,535",,,,"174,375,427",65,"6,408",77,20,"428,378",31,"3,156,727","4,843","4,304,870","654,482",,1
Panda Basi,Panda Basi - EP,Mvua,2/10/2023,GX3Q92333626,52,200.3,"104,271",249,"8,585",25,"2,457,026,781",,190,"36,666","393,580",,,12,,,,,,,,"1,881",,0
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,8/25/2022,NGA3B2214021,53,198,"1,391,688,322","163,876","130,963,116",77,"902,742,581","8,099,187",599,"48,035","2,857,920","750,030,685",316,"1,107,265",,112,"11,937,930",146,"52,073,859","41,487","5,820,026","3,521,951",,0
Shape of You,Shape of You,Ed Sheeran,1/6/2017,GBAHS1600463,54,195.1,"3,909,458,734","316,378","148,037,882",80,"8,013,997,219","45,770,887","2,270,315","194,420,058","2,320,856,331","2,294,804,623",465,"402,829",282,512,"2,710,931",115,"733,565,655","651,557","78,149,375","1,146,246",,0
Mitu,Mitu - Single,Maian,1/19/2023,EEUM72300001,55,194.3,"55,346",42,"16,861",13,"2,432,265,978","8,162,101",,,,,,53,,,,,,,,200,,0
Blinding Lights,Blinding Lights,The Weeknd,11/29/2019,USUG11904206,56,194,"4,281,468,720","590,392","165,544,011",83,"833,807,130","10,093,211","2,882,064","337,322,563","3,501,177,394","2,258,085,924",859,"1,695,240","1,116",564,"11,701,129",184,"489,299,762","319,634","28,659,471","28,994,660",,0
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,12/2/2022,USUG12208791,57,192.3,"1,337,619,917","228,295","64,806,723",80,"193,982,443","2,023,998","423,714","148,085,419","1,268,862,678","444,033,037",152,"952,186",34,58,"2,134,791",66,"77,382,416","28,694",,"6,205,060",,1
Dona Felicidade,Dona Felicidade,Patati Patatï¿,6/4/2024,QZNJW2423715,58,190,,2,"41,206",,"52,480,069","82,092",,,,,,,,1,"1,657",,,,,,,0
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,4/29/2024,TCJPA2420090,59,190,"1,655,575,417",1,3,,,,,,,,,,,,,,,,,,,1
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,9/22/2022,GBUM72205415,60,189.1,"1,556,275,789","210,583","95,974,138",74,"254,051,906","3,364,206","2,379,787","683,088,623","7,945,975,878","1,524,133,775",203,"718,849",117,63,"1,616,564",167,"111,398,743","71,335","10,424,892","10,192,485",,0
Stereo Love - Melodic,Stereo Love Deluxe (feat. Vika Jigulina),Edward Maya,6/5/2024,ROCMA2413380,61,187.9,,2,135,9,,,,,,,,,,,,,"420,235,997","885,123",,,,0
Very Cute Melody by Marimba Tone (39813),Very Cute Melody by Marimba Tone (39813),mitsu sound,12/31/2023,RUA1H2406425,62,186.5,"1,384",2,801,,"222,076","5,430","5,013,500","605,320,683","8,811,416,708",,,,,,,,,,,,,0
Supernova,Supernova,aespa,5/13/2024,KRA302400090,63,186.1,"69,729,033","2,483","21,046,278",81,"111,310,770","1,724,693","56,600","61,038,623","393,973,528","32,059,104",40,709,13,7,"544,322",14,"45,515",100,"255,951","63,283",,0
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214877,64,184.8,"1,811,990,630","173,358","67,603,671",79,"1,516,863,120","8,870,768","4,506,600","549,886,060","6,470,937,272","934,894,575",124,"77,120",327,44,"14,871,714",63,"111,324,744","39,123",,"3,393,920",,1
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),400 Degreez (Deluxe Edition),JUVENILE,3/29/2024,USCM52400059,65,181.4,"199,929,812",4,98,,,,,,,,1,,,,,,"390,345,308","399,793",,,,1
Calm Down,Calm Down,Rema,2/10/2022,NGA3B2214004,66,180.1,"584,427,088","182,994","19,203,258",68,"1,141,904,909","8,766,235","6,129,450","856,216,952","18,216,656,774","2,952,879,912",138,"191,634",759,53,"3,481,756",45,"98,290,873","46,039","14,668,216","22,563,407",,0
CARNIVAL,CARNIVAL,ýý$,2/8/2024,QZ7XS2400012,67,179.6,"466,887,055","53,842","103,935,623",84,"27,688,666","449,112",,,,"33,817,299",42,"53,333",,11,"199,915",29,"1,359,484","11,303","11,703,609","1,982,000",,1
Kill Bill,SOS,SZA,12/8/2022,USRC12204584,68,177.7,"1,873,746,537","190,202","99,546,318",82,"220,538,045","3,153,793","266,430","152,410,048","1,284,413,960","426,461,749",214,"655,242","5,448",73,"1,304,067",122,"57,350,590","61,270","16,992,932","4,873,832",,0
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,7/13/2023,USUM72307484,69,177.6,"891,720,245","114,560","97,542,546",82,"144,741,616","2,761,964","1,443,103","498,822,693","3,998,086,216","1,384,310,160",168,"275,119",68,108,"10,920,686",111,"39,374,594","19,921","5,418,596","4,476,509",,0
Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,3/3/2023,QZA742305720,70,176.2,"46,567",252,"21,930",6,"2,038,459,981","6,076,902",,,,,2,29,,,,,"1,456",,,903,,0
Heat Waves,Heat Waves,Glass Animals,6/29/2020,GBUM72000433,71,175,"2,996,181,078","486,278","112,416,489",82,"1,272,898,075","14,947,520","1,416,295","513,334,446","5,518,429,969","4,899,313,022",459,"1,414,326","1,434",170,"11,862,378",95,"122,247,640","160,431",,"17,848,778",,0
In the End,Papercuts,Linkin Park,4/12/2024,USWB11201322,72,174.8,"2,045,512,421",97,"488,602",,,,,,,,,,,,,2,,,,,,0
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,1/11/2023,UYB282301031,73,174.3,"946,941,510","100,130","74,836,321",74,"776,436,101","12,951,756","4,210,895","797,017,650","11,936,401,096","457,987,382",110,"165,670",180,106,"4,971,379",92,"48,806,666","10,225",,"2,237,762",,0
The Way We Move - Extended Mix,The Way We Move,PowerDress,3/10/2023,UKACT2330463,74,173.6,"7,909",38,"15,023",4,"1,999,374,091","5,708,577",,,,,,59,,,,,,,,"1,412",,0
Old Town Road,Old Town Road,Lil Nas X,3/14/2019,USSM11901941,75,170.3,"1,010,494,713","127,393","18,652,312",67,"3,203,314,695","41,487,213","5,757,883","187,301,054","1,981,431,049","939,714,925",63,"49,780","2,195",64,"397,418",100,"181,784,010","2,022,074","106,880,548","8,856,633",,0
un x100to,un x100to,Grupo Frontera,4/17/2023,QM6N22311285,76,170.2,"1,008,495,696","99,381","57,394,938",75,"878,892,413","4,425,283","796,603","127,651,887","1,669,065,906","1,522,934,425",101,"73,481",225,42,"5,734,172",81,"55,857,743","15,528",,"2,283,747",,0
Laxed ï¿½ï¿½ï¿½ Sire,Laxed (Siren Beat),Jawsh 685,4/24/2020,NZAM02001128,77,168.9,,"10,230","1,142,937",,"12,489,728","339,414","42,900,000","919,945,708","12,221,514,692",,,,,,,,"5,678,792",,,,,0
Sprinter,Sprinter - Single,Dave,6/1/2023,GBUM72305159,78,168.1,"692,512,930","199,828","55,464,762",78,"219,666,692","2,332,307","731,797","130,560,533","1,254,944,697","918,145,630",155,"42,082",36,41,"1,790,031",76,"411,656","3,414","12,405,917","3,093,667",,1
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401988,79,167.8,"169,410,711","11,028","144,854,768",90,"19,402,457","997,411",284,,,"260,377,114",185,"1,008",,53,"20,737,850",59,"521,322",698,"1,680,434","388,625",,0
TQG,TQG,KAROL G,2/23/2023,USUM72222541,80,167.8,"1,024,381,758","78,554","69,319,589",78,"1,102,289,596","8,953,293","457,111","15,048,444","248,168,852","1,174,053,183",138,"149,584",38,84,"8,850,320",131,"68,022,934","16,511","164,895","3,488,226",,1
Perfect,ýý (Deluxe),Ed Sheeran,3/3/2017,GBAHS1700024,81,167.5,"2,969,999,682","280,165","116,921,604",81,"6,473,698,897","39,632,673","6,642,975","601,244,764","7,647,479,866","1,708,317,539",208,"263,386",129,343,"1,242,581",102,"617,483,078","595,052",,,,0
Pepas,Pepas,Farruko,6/24/2021,USSD12100307,82,167.3,"1,500,499,584","359,502","125,112,486",74,"1,431,591,689","11,553,088","2,866,181","290,811,371","4,067,248,819","782,475,986",258,"240,677",438,137,"4,015,523",102,"120,046,948","89,582","6,227","17,210,946",,1
Peekaboo,Glide - Single,Dave Angel,1/27/2023,GBLTF2300027,83,167.2,"8,082",63,"32,758",,"2,055,940,513","4,150,967",,,,,1,13,,,,,,,,442,,0
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,3/16/2023,USE7D2300007,84,166.5,"1,215,336,974","129,463","39,814,172",74,"701,880,622","3,831,236","5,416","550,073","15,373,104","546,259,059",83,"40,153",227,24,"4,946,338",61,"84,378,219","53,890","17,115,523","3,435,177",,0
Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,5/25/2023,USAT22305457,85,166.2,"860,026,452","74,769","139,913,794",80,"173,044,031","1,640,319","175,536","90,924,917","1,227,837,850","1,205,266,954",7,"759,185","1,100",82,"4,067,956",,"64,567,514","22,064","1,843,883","3,199,636",,0
La Bebe - Remix,La Bebe (Remix),Yng Lvcas,3/17/2023,MXF152300159,86,164.9,"1,032,225,805","94,887","74,469,479",79,"920,878,032","3,118,229","1,031,612","116,003,972","2,416,141,351","1,690,231,413",83,"57,941",177,42,"3,360,878",48,"55,410,702","27,415","230,579","2,635,577",,1
redrum,american dream,21 Savage,1/12/2024,USSM12309164,87,164.8,"428,233,003","57,311","144,298,748",,"105,148,629","1,762,297","87,200","6,732,800","43,993,800","977,638,660",74,"102,457",56,48,"4,037,475",60,"16,802,867","11,821",,"2,490,071",,1
Easy On Me,Easy On Me,Adele,10/14/2021,USSM12105970,88,163.2,"1,720,918,065","209,635","93,875,458",73,"1,194,846,205","13,561,925","1,912,194","733,101,955","7,860,224,413","6,353,555,150",325,"774,277","1,316",257,"5,323,750",100,"203,324,731","126,594",,"7,569,155",,0
Titï¿½ï¿½ Me Pregu,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214878,89,163.1,"1,514,239,759","190,692","77,283,361",77,"1,366,181,141","9,358,441","1,769,068","475,656,543","5,249,863,696","488,048,337",150,"145,640",920,44,"5,591,928",108,"69,095,169","81,914",,"5,133,847",,1
All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,5/12/2023,USQX92302957,90,162,"333,202,114","108,322","41,018,697",68,"203,487,345","2,084,532","928,132","63,253,779","748,253,884","735,908,540",148,"346,411",146,30,"1,277,729",60,"90,114,807","46,789","16,620,102","4,207,535",,1
Anti-Hero,Midnights,Taylor Swift,10/21/2022,USUG12205736,91,161.8,"1,563,224,246","117,005","97,456,780",80,"203,259,285","3,482,508","1,302,967","376,660,493","3,864,505,972","724,976,542",261,"1,034,319","1,088",74,"4,457,357",150,"92,338,994","45,974",,"4,703,179",,0
"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,7/6/2022,UYB282201028,92,161.7,"1,692,951,462","209,490","88,591,675",78,"1,132,539,234","8,795,731","1,212,100","196,608,777","2,054,826,154","56,677,146",99,"138,254",37,58,"5,211,955",65,"18,052,815","5,213","4,099,686","6,836,893",,0
Magnetic,SUPER REAL ME,ILLIT,3/25/2024,USA2P2413259,93,161,"255,076,355","11,500","90,584,540",86,"202,206,901","2,596,912",,"57,656,713","506,476,590","273,521,596",67,"4,716",137,9,"423,666",44,"220,481","1,207","556,784","659,825",,0
Lollipop,EVERYBODY GO TO THE DISCOTEK,Darell,7/28/2023,USSD12300307,94,158.2,"275,349,653","37,806","22,826,643",70,"347,506,860","1,553,295","4,349,700","321,239,621","4,767,676,439","2,676,837,761",19,"23,875",96,37,"3,780,737",29,"5,101,044","5,276",,"1,245,874",,1
La Diabla,La Diabla - Single,Xavi,12/2/2023,USA2P2357356,95,155.9,"649,404,552","27,544","47,789,063",83,"433,839,212","2,750,086",,"414,833","10,603,563","1,795,939,912",29,"16,287",462,34,"16,509,806",26,"22,603,598","29,401",,"1,380,069",,0
Boy's a Liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress,2/3/2023,GBAYE2300015,96,153.6,"851,085,705","129,047","50,996,176",70,"211,810,152","2,461,166","3,502,547","955,272,568","8,781,020,473","806,434,641",162,"223,173","6,243",65,"8,655,684",130,"10,207,007","36,847","13,896,129","2,580,691",,1
Snooze,SOS,SZA,12/9/2022,USRC12204591,97,153.3,"1,013,350,808","108,036","86,470,319",84,"390,677,417","2,521,214","402,338","97,819,766","887,803,828","560,893,301",154,"559,589",513,60,"2,707,900",61,"74,611,167","85,113","17,702,595","3,129,609",,1
BELLAKEO,BELLAKEO,Peso Pluma,12/7/2023,QMFMF2388143,98,153.1,"359,803,580","26,065","79,152,427",86,"369,321,334","1,839,225","720,800","74,164,945","874,056,250","4,123,457,278",40,"16,952",69,63,"18,139,662",51,"20,058,510","7,289",,"1,002,835",,1
Agora Hills,Scarlet,Doja Cat,9/22/2023,USRC12301954,99,152.8,"509,653,100","66,219","67,521,533",,"48,045,203","986,278","328,562","88,846,508","544,437,406","1,561,456,615",80,"400,206",14,78,"9,341,155",39,"23,110,274","19,559",,"4,295,361",,1
